Date,Station I (Central West Bay),Station II (East Bay),Station IV (Central Bay) ,Station V (Northern West Bay),Station VIII (South Bay) ,Station XV (San Pedro),Station XVI (Sta. Rosa),Station XVII (Sanctuary),Station XVIII (Pagsanjan) ,,mean
Jan-16,n,0.538,0.315,1.327,0.546,0.724,0.011,0.708,0.562,,0.591375
Feb-16,0.331,0.357,0.335,0.715,0.375,0.538,0.285,0.45,0.283,,0.407666667
Mar-16,0.308,0.176,0.355,0.103,0.204,0.352,0.559,0.192,0.004,,0.250333333
Apr-16,0.065,0.046,0.039,0.087,0.081,0.128,0.102,0.088,0.096,,0.081333333
May-16,0.001,0.009,0.002,0.059,0.001,0.019,0.036,0.051,0.004,,0.020222222
Jun-16,0.065,0.05,0.051,0.069,0.684,0.77,0.165,0.372,0.798,,0.336
Jul-16,0.068,0.0574,0.031,0.11,0.001,0.001,0.001,0.001,0.038,,0.034266667
Aug-16,0.382,0.271,0.142,0.313,0.028,0.301,0.001,0.037,0.041,,0.168444444
Sep-16,0.728,0.022,0.058,1.084,0.109,0.069,0.037,0.028,0.031,,0.240666667
Oct-16,0.796,0.035,0.046,0.463,0.034,0.035,0.055,0.091,0.036,,0.176777778
Nov-16,0.131,0.255,0.545,0.038,0.308,0.184,0.14,0.127,0.314,,0.226888889
Dec-16,0.121,0.141,0.001,0.039,0.238,0.028,0.014,0.089,0.248,,0.102111111
Jan-17,0.223,0.343,0.149,0.344,0.335,0.379,0.001,0.19,0.393,,0.261888889
Feb-17,0.405,0.44,1.412,2.631,1.88,0.509,2.136,2.592,0.54,,1.393888889
Mar-17,0.267,0.197,0.372,0.373,0.24,0.205,0.285,0.221,0.001,,0.240111111
Apr-17,0.413,0.021,0.144,0.154,0.034,0.09,0.094,0.004,0.016,,0.107777778
May-17,0.001,0.001,0.001,0.162,0.001,0.013,0.001,0.001,0.001,,0.020222222
Jun-17,0.224,0.001,0.022,0.238,0.001,0.001,0.001,0.001,0.042,,0.059
Jul-17,0.031,0.52,0.032,0.045,0.015,0.019,0.02,0.012,0.022,,0.079555556
Aug-17,0.018,0.184,0.016,0.001,0.001,0.026,0.001,0.001,0.02,,0.029777778
Sep-17,0.208,0.001,0.001,0.001,0.008,0.001,0.001,0.001,0.003,,0.025
Oct-17,0.046,0.06,0.212,0.231,0.001,0.217,0.023,0.001,0.001,,0.088
Nov-17,0.361,0.137,0.453,0.451,0.216,0.334,0.182,0.264,0.06,,0.273111111
Dec-17,0.263,0.032,0.617,0.132,0.205,0.046,0.153,0.052,0.006,,0.167333333
Jan-18,0.666,0.411,0.389,0.478,0.44,0.396,0.402,0.378,0.375,,0.437222222
Feb-18,0.459,0.392,0.513,0.462,0.565,0.407,0.367,0.352,0.326,,0.427
Mar-18,0.188,0.259,0.326,0.05,0.276,0.242,0.222,0.359,0.05,,0.219111111
Apr-18,0.138,0.05,0.05,0.258,0.05,0.05,0.05,0.05,0.05,,0.082888889
May-18,0.109,0.05,0.05,0.505,0.05,0.05,0.05,0.05,0.05,,0.107111111
Jun-18,0.05,0.05,0.05,0.05,0.235,0.177,0.05,0.137,0.05,,0.094333333
Jul-18,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,,0.05
Aug-18,0.594,0.057,0.004,0.428,0.073,0.161,0.092,0.103,0.111,,0.180333333
Sep-18,0.05,0.05,0.504,1.778,1.503,4.434,0.844,1.289,0.05,,1.166888889
Oct-18,0.05,0.05,0.05,0.05,0.412,0.05,0.05,0.05,0.05,,0.090222222
Nov-18,0.02,0.05,0.05,0.05,0.073,0.112,0.05,0.05,0.05,,0.056111111
Dec-18,0.123,0.054,0.053,0.174,0.326,0.074,0.085,0.07,0.043,,0.111333333
Jan-19,0.0865,0.107,0.0515,0.247,0.528,0.062,0.0675,0.06,0.0915,,0.144555556
Feb-19,0.05,0.16,0.05,0.32,0.73,0.05,0.05,0.05,0.14,,0.177777778
Mar-19,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,,0.05
Apr-19,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,,0.05
May-19,0.05,0.05,0.05,0.205,0.05,0.05,0.05,0.05,0.05,,0.067222222
Jun-19,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,,0.05
Jul-19,0.072,0.033,0.034,0.254,0.029,0.033,0.026,0.079,0.067,,0.069666667
Aug-19,0.223,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,,0.069222222
Sep-19,0.618,0.1,0.342,0.05,0.05,0.05,0.05,0.05,0.05,,0.151111111
Oct-19,0.05,0.05,0.43,0.05,0.05,0.05,0.05,0.05,0.05,,0.092222222
Nov-19,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,,0.05
Dec-19,0.185,0.115,0.114,0.504,0.151,0.17,0.178,0.1,0.401,,0.213111111
Jan-20,0.274,0.348,0.232,0.207,0.25,0.385,0.276,0.241,0.497,,0.301111111
Feb-20,0.153,0.239,0.05,0.418,0.146,0.05,0.05,0.05,0.434,,0.176666667
Mar-20,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,,0.05
Apr-20,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,,0.05
May-20,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,,0.05
Jun-20,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,,0.05
Jul-20,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,,0.05
Aug-20,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,,0.05
Sep-20,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,,0.05
Oct-20,0.05,0.05,0.781,0.05,0.05,0.05,0.05,0.05,0.05,,0.131222222
Nov-20,0.05,0.05,0.676571429,0.05,0.05,0.05,0.05,0.05,0.05,,0.119619048
Dec-20,0.05,0.05,0.572142857,0.05,0.05,0.05,0.05,0.05,0.05,,0.108015873
Jan-21,0.05,0.05,0.467714286,0.05,0.05,0.05,0.05,0.05,0.05,,0.096412698
Feb-21,0.05,0.05,0.363285714,0.05,0.05,0.05,0.05,0.05,0.05,,0.084809524
Mar-21,0.05,0.05,0.258857143,0.05,0.05,0.05,0.05,0.05,0.05,,0.073206349
Apr-21,0.05,0.05,0.154428571,0.05,0.05,0.05,0.05,0.05,0.05,,0.061603175
May-21,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,,0.05
Jun-21,0.05,0.05,0.05,0.05,0.05,0.114,0.05,0.05,0.05,,0.057111111
Jul-21,0.05,0.05,0.124,0.05,0.05,0.05,0.05,0.05,0.05,,0.058222222
Aug-21,1.13,0.57,0.31,0.29,0.05,0.17,0.32,0.09,0.24,,0.352222222
Sep-21,0.3,0.45,0.31,0.21,0.27,0.31,0.24,0.13,0.14,,0.262222222
Oct-21,0.05,0.05,0.05,0.05,0.05,0.14,0.05,0.05,0.05,,0.06
Nov-21,0.05,0.1,0.18,0.05,0.05,0.05,0.18,0.27,0.05,,0.108888889
Dec-21,0.38,0.25,0.38,0.66,0.305,0.21,0.29,0.34,0.13,,0.327222222
Jan-22,0.5055,0.322,0.4535,0.5055,0.368,0.325,0.463,0.41,0.2545,,0.400777778
Feb-22,0.631,0.394,0.527,0.351,0.431,0.44,0.636,0.48,0.379,,0.474333333
Mar-22,0.02,0.03,0.01,0.005,0.005,0.005,0.005,0.005,0.005,,0.01
Apr-22,0.02,0.04,0.05,0.04,0.01,0.02,0.01,0.07,0.01,,0.03
May-22,0.03,0.03,0.01,0.01,0.02,0.01,0.04,0.01,0.01,,0.018888889
Jun-22,0.01,0.01,0.01,0.01,0.22,0.01,0.01,0.01,0.01,,0.033333333
Jul-22,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,,0.005
Aug-22,0.05,0.05,0.05,0.05,0.1,0.1,0.05,0.05,0.1,,0.066666667
Sep-22,0.61,0.1,0.37,0.12,0.01,0.12,0.05,0.05,0.05,,0.164444444
Oct-22,1,0.2,0.58,0.47,0.11,0.21,0.05,0.36,0.05,,0.336666667
Nov-22,0.48,0.47,0.53,0.39,0.64,0.76,0.64,0.41,0.38,,0.522222222
Dec-22,0.76,0.44,0.48,0.57,0.45,0.58,0.54,1.18,0.14,,0.571111111
